name,id,x,y,width,height
Data_Rack_250,18,0,0,40,40
Network_Rack_50,11,40,0,40,40
Water_Chiller_400,10,100,0,300,100
Water_Chiller_100,9,400,0,100,100
Network_Rack_100,12,500,0,40,40
Server_Rack_100,14,540,0,40,40
Water_Chiller_100,9,580,0,100,100
Server_Rack_200,15,680,0,40,40
Server_Rack_200,15,720,0,40,40
Server_Rack_200,15,760,0,40,40
Server_Rack_200,15,800,0,40,40
Transformer_1000,2,0,40,100,100
Water_Chiller_100,9,100,100,100,100
Network_Rack_50,11,200,100,40,40
Server_Rack_200,15,240,100,40,40
Server_Rack_200,15,280,100,40,40
Server_Rack_200,15,320,100,40,40
Transformer_5000,3,360,100,200,200
Transformer_1000,2,0,140,100,100
Network_Rack_50,11,200,140,40,40
Server_Rack_200,15,240,140,40,40
Server_Rack_200,15,280,140,40,40
Server_Rack_200,15,200,180,40,40
Server_Rack_200,15,240,180,40,40
Server_Rack_200,15,280,180,40,40
Server_Rack_200,15,320,180,40,40
Server_Rack_200,15,100,220,40,40
Network_Rack_50,11,140,220,40,40
Server_Rack_200,15,180,220,40,40
Server_Rack_200,15,280,220,40,40
Water_Supply_100,4,0,240,50,50
Server_Rack_200,15,240,260,40,40
Server_Rack_200,15,280,260,40,40
Water_Treatment_50,6,0,290,50,50
Network_Rack_50,11,50,300,40,40
Server_Rack_200,15,240,300,40,40
Server_Rack_200,15,280,300,40,40
Network_Rack_100,12,0,340,40,40
Server_Rack_200,15,40,340,40,40
Server_Rack_200,15,80,340,40,40
Data_Rack_250,18,320,340,40,40
Network_Rack_50,11,0,380,40,40
Server_Rack_200,15,280,380,40,40
Water_Treatment_50,6,50,400,50,50
Server_Rack_200,15,0,420,40,40
Data_Rack_250,18,40,450,40,40
Data_Rack_250,18,0,460,40,40
